id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
41116813,Skoda Octavia 2023 Vrs,8300000,2023,200cv,Noir,Licence / Délai,29000km,Skoda,Octavia,Vrs,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41115820,Fiat 500 2024 Club,2560000,2024,1.2,Blanc,Carte grise / safia,1300km,Fiat,500,Club,,,Climatisation,Toit ouvrant,ABS,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
41107984,Fiat Doblo 2024 Professionnel,3600000,2024,1.6 hdi 92ch,Gris Argent,Carte jaune,21km,Fiat,Doblo,Professionnel,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Feux du jour,Vitres éléctriques,,,,,,
40888120,Hyundai Tucson 2024 Tucson,8500000,2024,,Gris Argent,Carte grise / safia,00km,Hyundai,Tucson,Tucson,,,,,,,,,,,,,,,,
41107366,Citroen C Elysée 2022 C Elysée,3480000,2022,1.6 HDI 92ch,Gris Argent,Carte grise / safia,38000km,Citroen,C Elysée,C Elysée,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,
41144284,Toyota Yaris Sedan 2009 Yaris Sedan,2000000,2009,1.3 VVTI 87ch,Blanc,Carte grise / safia,341000km,Toyota,Yaris Sedan,Yaris Sedan,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Feux du jour,Vitres éléctriques,,
41099710,Seat Ibiza 2013 Ibiza,2450000,2013,1.4 ess 85ch,Blanc,Carte grise / safia,155000km,Seat,Ibiza,Ibiza,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41098852,Seat Ibiza 2013 Sport Edition,1950000,2013,1.4 ess 85ch,Gris Souris,Carte grise / safia,211000km,Seat,Ibiza,Sport Edition,,,Toit ouvrant,ABS,Radar de recul,Direction assisstée,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Vitres éléctriques,,,,
41144278,Peugeot 208 2016 208,1950000,2016,1.2 VTI 82ch,Blanc,Carte grise / safia,139000km,Peugeot,208,208,,,Climatisation,ABS,Radar de recul,Retroviseurs électriques,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,,,
41144275,Hyundai i20 2019 ,2400000,2019,1.4 crdi 90,Blanc,Carte grise / safia,248750km,Hyundai,i20,,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Vitres éléctriques,,,,,
41095855,Peugeot 308 2012 ,10000,2012,1.6 e HDI 112ch,Blanc,Carte grise / safia,211460km,Peugeot,308,,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41093440,Chevrolet Spark 2014 Lite Ls,1250000,2014,1.0 ess 68ch,Gris,Carte grise / safia,290000km,Chevrolet,Spark,Lite Ls,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,
41089267,Nissan Micra 2015 Micra,1750000,2015,1.2 ess 80ch,Gris Argent,Carte grise / safia,230000km,Nissan,Micra,Micra,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Feux du jour,Vitres éléctriques,,,,
41088631,Seat Ibiza 2018 HIGH,3400000,2018,1.6 MPi 110 ch Automatique,Blanc,Carte grise / safia,135km,Seat,Ibiza,HIGH,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
41088316,Renault Clio 4 2015 Clio 4,3330000,2015,1.2 ess 16V 75ch,Blanc,Carte grise / safia,226000km,Renault,Clio 4,Clio 4,,,Climatisation,Toit ouvrant,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41080891,Hafei motors New king 2012 ,950000,2012,1.1,Blanc,Carte grise / safia,334000km,Hafei motors,New king,,,,Phares antibrouillard,,,,,,,,,,,,,
41076883,Renault Clio 4 2018 GT Line +,10000,2018,,Blanc,Carte grise / safia,190km,Renault,Clio 4,GT Line +,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40467714,Toyota Hilux 2024 GR,10000,2024,2.8L,Blanc,Licence / Délai,00km,Toyota,Hilux,GR,,,,,,,,,,,,,,,,
41072578,Renault Kangoo 2004 Kangoo,1400000,2004,1.9 D 65ch,Gris,Carte grise / safia,334500km,Renault,Kangoo,Kangoo,,,Climatisation,Toit ouvrant,Direction assisstée,Retroviseurs électriques,Radio CD,Jantes Alliage,Vitres éléctriques,,,,,,,
41064043,Hyundai Accent 2012 GLS,1560000,2012,1.5 ess 91ch,Gris Souris,Carte grise / safia,280000km,Hyundai,Accent,GLS,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Vitres éléctriques,,,,,
41062966,Volkswagen Polo 2019 Carat,4800000,2019,1.6 MPi 90ch,Gris Champagne,Carte grise / safia,30000km,Volkswagen,Polo,Carat,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
41058202,Renault Clio Campus 2012 Bye bye,1850000,2012,1.2 ess 16V 75ch,Blanc,Carte grise / safia,181500km,Renault,Clio Campus,Bye bye,,,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Jantes Alliage,,,,,,,
41049316,Seat Ibiza 2019 FR,3650000,2019,1.6 MPi 110 ch,Noir,Carte grise / safia,124000km,Seat,Ibiza,FR,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41049037,Hyundai SantaFe 2018 GLS DZ,4800000,2018,2.2 CRDI 4WD 197ch BVA,Noir,Carte grise / safia,130000km,Hyundai,SantaFe,GLS DZ,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Feux du jour,Vitres éléctriques,
41047558,Renault Clio Campus 2012 Bye bye,1850000,2012,1.2 ess 16V 75ch,Blanc,Carte grise / safia,181500km,Renault,Clio Campus,Bye bye,,,,,,,,,,,,,,,,
41144254,Seat Ibiza 2018 FR,11110000,2018,1.6 MPi 110 ch,Gris Argent,Carte grise / safia,38000km,Seat,Ibiza,FR,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41144251,Skoda Octavia 2017 Ambition,10000,2017,2.0 TDI 143ch,Blanc,Carte grise / safia,167000km,Skoda,Octavia,Ambition,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,
41044578,Nissan Micra 2011 City,1510000,2011,1.3 ess 80ch,Noir,Carte grise / safia,260000km,Nissan,Micra,City,,,Climatisation,ABS,Alarme,,,,,,,,,,,
41144239,Kia Picanto 2015 ,10000,2015,1.2 ess CVVT 87ch,Blanc,Carte grise / safia,20000km,Kia,Picanto,,,,ABS,Jantes Alliage,,,,,,,,,,,,
41144239,Kia Picanto 2015 ,10000,2015,1.2 ess CVVT 87ch,Blanc,Carte grise / safia,20000km,Kia,Picanto,,,,ABS,Jantes Alliage,,,,,,,,,,,,
41144236,Fiat Tipo 2024 Life ( Urban + ),10000,2024,1.6 e-torq 110 ch BVA6,Blanc,Carte grise / safia,2000km,Fiat,Tipo,Life ( Urban + ),,,,,,,,,,,,,,,,
41042860,Seat ARONA 2019 ARONA,3900000,2019,1.6 MPi 110 ch,Blanc,Carte grise / safia,88000km,Seat,ARONA,ARONA,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
