id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
41116852,Hyundai Creta 2019 Full optio,3970000,2019,Crdi,Gris Souris,Carte grise / safia,100000km,Hyundai,Creta,Full optio,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41116849,Citroen Berlingo 2021 Berlingo,10000,2021,1.6 HDI 112ch,Gris Souris,Carte grise / safia,73000km,Citroen,Berlingo,Berlingo,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40079116,Opel Astra 2021 Gs Line,3100000,2021,1.2 130,Gris,Carte grise / safia,78000km,Opel,Astra,Gs Line,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40322914,Fiat Fiat 500 2024 Fiat 500 Dolcevita MIB 1.0 Hybrid 70ch,2359000,2024,1.0 Hybrid 70ch,Autre,Carte jaune,0km,Fiat,Fiat 500,Fiat 500 Dolcevita MIB 1.0 Hybrid 70ch,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,
37748169,Audi RsQ3 2023 RsQ3,10000,2023,400,Gris Manitoba,Licence / Délai,6000km,Audi,RsQ3,RsQ3,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40774288,Volkswagen Golf 7 2019 Gtd kit R,6200000,2019,2.0 TDI 177ch DSG6,Noir,Carte grise / safia,90000km,Volkswagen,Golf 7,Gtd kit R,,,ABS,Feux du jour,,,,,,,,,,,,
40342726,Renault 4 1986 4,10000,1986,0.9 ess 34ch,Vert,Carte grise / safia,11111km,Renault,4,4,,,,,,,,,,,,,,,,
40981927,Peugeot 406 2004 406,2650000,2004,2.0 HDI 110ch,Gris,Carte grise / safia,196000km,Peugeot,406,406,,,,,,,,,,,,,,,,
41022072,Renault Clio 2 2001 ,710000,2001,1.9 D,Gris,Carte grise / safia,500000km,Renault,Clio 2,,,,,,,,,,,,,,,,,
40993315,Kia Sportage 2017 GT-Line,10000,2017,2.0 CRDI 178ch 4x2 BVA,Bleu Turquoise,Carte grise / safia,110000km,Kia,Sportage,GT-Line,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40904395,Suzuki SX4 2008 SX4,1100000,2008,1.6 VVT 104ch,Gris Souris,Carte grise / safia,500000km,Suzuki,SX4,SX4,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,
