id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
40187131,Toyota Hilux 2023 Revo 5,8900000,2023,2.4,Blanc,Licence / Délai,29800km,Toyota,Hilux,Revo 5,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,
39409971,Renault Clio Campus 2015 Bye bye,2060000,2015,1.2 ess 16V 75ch,Blanc,Carte grise / safia,185000km,Renault,Clio Campus,Bye bye,,,Climatisation,ABS,ESP,Phares antibrouillard,Phares xénon,Jantes Alliage,Vitres éléctriques,,,,,,,
40241335,Dacia Duster 2023 Extrême,1230000,2023,115,Gris Manitoba,Carte grise / safia,00km,Dacia,Duster,Extrême,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40241310,Renault Megane 2023 1.3 tce 150 cheveaux,11110000,2023,,Noir,Carte grise / safia,3800km,Renault,Megane,1.3 tce 150 cheveaux,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40241287,Toyota Yaris 2001 Yaris,850000,2001,1.3 ess 86ch,Gris Argent,Carte grise / safia,470km,Toyota,Yaris,Yaris,,,,,,,,,,,,,,,,
40241194,Seat Ibiza 2013 Fully,1200000,2013,1.4 ess 85ch,Blanc,Carte grise / safia,377000km,Seat,Ibiza,Fully,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,
40241176,Ford Ranger 2010 اصلي,10000,2010,10/10,Gris Alluminium,Carte grise / safia,111km,Ford,Ranger,اصلي,,,Climatisation,Alarme,,,,,,,,,,,,
40241101,Peugeot Partner 2014 Tepee Allure ,2900000,2014,1.6 HDI 112ch,Blanc,Carte grise / safia,212000km,Peugeot,Partner,Tepee Allure ,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40238890,Hyundai i20 2015 i20,1450000,2015,1.25 ess 85ch,Blanc,Carte grise / safia,236km,Hyundai,i20,i20,,,Climatisation,Toit ouvrant,ABS,Radio CD,Vitres éléctriques,,,,,,,,,
40238815,Renault Symbol 2017 Privilege,2230000,2017,1.6 ess 100ch,Gris Argent,Carte grise / safia,240.000km,Renault,Symbol,Privilege,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40238677,Audi Q3 2023 sport Sline,11000000,2023,200,Noir,Licence / Délai,18798km,Audi,Q3,sport Sline,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40240153,Audi Q5 2022 S Line,10000,2022,,Noir,Licence / Délai,20347km,Audi,Q5,S Line,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
35853624,Volkswagen Tiguan 2018 R Line,10000,2018,,Blanc,Carte grise / safia,146000km,Volkswagen,Tiguan,R Line,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40219948,Renault Kangoo 2021 ,10000,2021,1.5 DCI 80ch,Gris,Licence / Délai,46000km,Renault,Kangoo,,,,,,,,,,,,,,,,,
35448669,Volkswagen Tiguan 2008 Tiguan,10000,2008,2.0 TDI 140ch,Noir,Carte grise / safia,300000km,Volkswagen,Tiguan,Tiguan,,,Climatisation,ABS,,,,,,,,,,,,
39115563,Fiat 500 x 2023 ,10000,2023,,Bleu,Carte grise / safia,750km,Fiat,500 x,,,,Climatisation,ABS,,,,,,,,,,,,
38799114,Seat Leon 2012 Leon,1110000,2012,2.0 TDI 140ch,Blanc,Carte grise / safia,313km,Seat,Leon,Leon,,,,,,,,,,,,,,,,
